Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
305;ps_305;"Шкив на двигатель для мотоблоков МБ-1 Ока, Каскад, Луч";720;0;0;0;0;0;0;99;0.7;-1
306;ps_306;"Шкив на двигатель для мотоблока Салют";720;0;0;0;0;0;0;99;0.7;-1
307;ps_307;"Шкив на двигатель для мотоблоков МКМ-3 Lander, Hitachi S169";720;0;0;0;0;0;0;99;0.7;-1
302;ps_302;"Шкив Д=20 мм (Салют)";700;0;0;0;0;;;99;0;0
303;ps_303;"Шкив Д=19 мм (Салют)";700;0;0;0;0;;;99;0;0
304;ps_304;"Шкив на двигатель для мотокультиватора Крот";720;0;0;0;0;0;0;99;0.7;-1
2170;out2170;"Бензиновая газонокосилка Viking МВ 858";97370;0;0;0;0;1;0;99;0;0
301;ps_301;"Шкив Д=19 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
298;ps_298;"Шкив Д=20 мм (МКМ-3 Lander, Крот)";700;0;0;0;0;;;99;0;0
300;ps_300;"Сцепка СВ-2 для мотоблоков типа МБ и МКМ-3 Lander";1330;0;0;0;0;0;0;95;4;0
299;ps_299;"Сцепка СВ-1/1 для мотоблоков Салют, Фаворит";1120;0;0;0;0;0;0;93;4;0
226;ps_226;"Комплект культиваторов для мотоблоков типа МБ";15200;0;0;0;0;0;0;98;11;0
225;ps_225;"Почвофреза для мотоблоков Агрос (Агро), МТЗ Беларус ФР-00010";28380;0;0;0;0;0;0;99;0;0
145;ps_145;"Плуг двухоборотный для мотоблока";4320;0;0;0;0;0;0;96;15;-1
8789;ps_8789;"Двигатель Lifan 170F-B";8740;0;0;0;0;0;0;99;0;1
144;ps_144;"Плуг Крот для мотоблока";1100;0;0;0;0;0;0;93;4;0
8788;ps_8788;"Двигатель Lifan 168F-B";8380;0;0;0;0;0;0;99;0;1
143;ps_143;"Плуг П1-20/3 для мотоблока";1450;0;0;0;0;0;0;99;7;0
141;ps_141;"Окучник для мотокультиваторов ОН-2";930;0;0;0;0;0;0;98;4;0
140;ps_140;"Окучник для мотоблоков ОН-2/2";1060;0;0;0;0;0;0;89;5;0
71;ps_71;"Плуг П1-20/2 для мотоблока";1310;0;0;0;0;0;0;94;6;0
8780;2400007;"Аккумуляторный воздуходув GreenWorks G24BL (без АКБ и зарядного устройства)";3790;0;0;0;0;1;0;99;0;0
139;ps_139;"Окучник для мотоблоков двухрядный";3400;0;0;0;0;0;0;95;15;0
308;ps_308;"Удлинители грунтозацепов для мотоблоков МКМ-3 Lander, Салют";850;0;0;0;0;0;0;88;2;-1
309;ps_309;"Полольники для мотокультиватора Нева МК-100";1680;0;0;0;0;0;0;98;5;0
155;out155;"Мотокультиватор Мобил К МКМ-2Р-Л4,0";19990;0;0;0;0;0;0;99;65;0
8790;ps_8790;"Двигатель Lifan 177F";15400;0;0;0;0;0;0;99;0;1
