Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение
;Генератор бензиновый DAEWOO GDA 980;  ;;;;99;6990;0;0;0;0;0;GDA 980;539;#9#538#;Габаритные размеры, мм;385*330*330 ;Сухая масса, кг;19;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;Series 65;Рабочий объем, куб.см;63;Стартер;ручной ;Тип двигателя;двухтактный ;Тип топлива;АИ-92;Емкость топливного бака, л;04.май;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;нет ;Уровень шума, дБ (А);77;Макс. мощность, Вт;800;Время непрерывной работы, ч;6;Номинальная мощность генератора, Вт;700;Частота тока, Гц;50;Напряжение, В;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 3500;;;;;99;16990;0;0;0;0;0;GDA 3500;539;#9#538#;Габаритные размеры, мм;610*450*490;Сухая масса, кг;38;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;210 Series;Рабочий объем, куб.см;208;Стартер;ручной ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;15;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;опция ;Уровень шума, дБ (А);69.3;Макс. мощность, Вт;3200;Время непрерывной работы, ч;12;Номинальная мощность генератора, Вт;2800;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 3500E;;;;;99;19990;0;0;0;0;0;GDA 3500E;539;#9#538#;Габаритные размеры, мм;610*450*490;Сухая масса, кг;39;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;211 Series;Рабочий объем, куб.см;208;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;15;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;опция ;Уровень шума, дБ (А);69.3;Макс. мощность, Вт;3200;Время непрерывной работы, ч;12;Номинальная мощность генератора, Вт;2800;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 6500;;;;;99;31990;0;0;0;0;0;GDA 6500;539;#9#538#;Габаритные размеры, мм;695*550*595;Сухая масса, кг;75;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;410 Series;Рабочий объем, куб.см;389;Стартер;ручной ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;25;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;опция ;Уровень шума, дБ (А);76.8;Макс. мощность, Вт;5500;Время непрерывной работы, ч;15;Номинальная мощность генератора, Вт;5000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 6500E;;;;;99;34990;0;0;0;0;0;GDA 6500E;539;#9#538#;Габаритные размеры, мм;695*550*595;Сухая масса, кг;79;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;410 Series;Рабочий объем, куб.см;389;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;25;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;опция ;Уровень шума, дБ (А);76.9;Макс. мощность, Вт;5500;Время непрерывной работы, ч;15;Номинальная мощность генератора, Вт;5000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 7500E;;;;;99;37990;0;0;0;0;0;GDA 7500E;539;#9#538#;Габаритные размеры, мм;695*550*595;Сухая масса, кг;83;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;420 Series;Рабочий объем, куб.см;420;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;25;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;опция ;Уровень шума, дБ (А);77.1;Макс. мощность, Вт;6500;Время непрерывной работы, ч;15;Номинальная мощность генератора, Вт;6000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 7500-3;;;;;99;39990;0;0;0;0;0;GDA 7500E-3;539;#9#538#;Габаритные размеры, мм;695*550*595;Сухая масса, кг;85;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;421 Series;Рабочий объем, куб.см;420;Стартер;ручной+электро ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;25;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;опция ;Уровень шума, дБ (А);77.2;Макс. мощность, Вт;6500;Время непрерывной работы, ч;15;Номинальная мощность генератора, Вт;6000;Частота тока, Гц;50;Напряжение, В;380 /230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 1200;;;;;99;13990;0;0;0;0;0;GDA 1200;539;#9#538#;Габаритные размеры, мм;477*390*400;Сухая масса, кг;25;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 105;Рабочий объем, куб.см;98;Стартер;ручной ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;6;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;нет ;Уровень шума, дБ (А);67.2;Макс. мощность, Вт;1200;Время непрерывной работы, ч;12;Номинальная мощность генератора, Вт;1000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 2300;;;;;99;17990;0;0;0;0;0;GDA 2300;539;#9#538#;Габаритные размеры, мм;611*453*490;Сухая масса, кг;37;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 215;Рабочий объем, куб.см;208;Стартер;ручной ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;15;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;нет ;Уровень шума, дБ (А);68.4;Макс. мощность, Вт;2200;Время непрерывной работы, ч;12;Номинальная мощность генератора, Вт;2000;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Генератор бензиновый DAEWOO GDA 3300;;;;;99;18990;0;0;0;0;0;GDA 3300;539;#9#538#;Габаритные размеры, мм;611*453*490;Сухая масса, кг;39;Производитель;Daewoo;Гарантия;1 год официальная гарантия производителя;Охлаждение;воздушное ;Напрямую с завода;;Расширенная гарантия;;Самовывоз в день заказа;;Двигатель;series 215;Рабочий объем, куб.см;208;Стартер;ручной ;Тип двигателя;бензиновый / 4-х тактный;Тип топлива;АИ-92;Емкость топливного бака, л;15;Предпродажная подготовка;images/preparation.png;Транпортировочные колеса;нет ;Уровень шума, дБ (А);69.3;Макс. мощность, Вт;3000;Время непрерывной работы, ч;12;Номинальная мощность генератора, Вт;2600;Частота тока, Гц;50;Напряжение, В;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
