Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;;
;Окучник для мотоблока двухрядный;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/inv1_3.jpg;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UserFiles/Image/shop/inv1_3.jpg;99;3100;3100;0;0;0;15;;;;;;;;;;;;;;;;;;;
;Окучник ОН-2/2 для мотоблока;Окучник ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов;/UserFiles/Image/shop/okuchnik_OH-2_2-mini.png;Окучник ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UserFiles/Image/shop/okuchnik_OH-2_2.png;99;1000;1000;0;0;0;5;;;;Габаритные размеры;540х170х45 мм;Ширина захвата лемеха;420 мм;Рабочая скорость окучивания;2-5 км/ч;Масса;не более 5 кг;Производитель;Мобил К, г. Гагарин;Для установки на мотоблок необходима сцепка;;;;;
;Окучник ОН-2 для мотоблоков;Окучник ОН-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов;/UserFiles/Image/shop/okuchnik_OH-2-mini.png;Окучник ОН-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UserFiles/Image/shop/okuchnik_OH-2.png;99;900;900;0;0;0;4,4;;;;Габаритные размеры;450х130х45 мм;Ширина захвата лемеха;300 мм;Рабочая скорость окучивания;2-5 км/ч;Масса;не более 4,4 кг;Производитель;Мобил К, г. Гагарин;Для установки на мотоблок необходима сцепка;;;;;
;Плуг П1-20/2 для мотоблока;Плуг П1-20/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/plug_P1_20_2-mini.png;Плуг П1-20/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/plug_P1_20_2.png;99;1200;1200;0;0;0;6,9;;;;Габаритные размеры;535х285х410 мм;Ширина захвата лемеха;190 мм;Рабочая скорость вспашки;2-5 км/ч;Вид почвы;легкая, средняя;Производитель;Мобил К, г. Гагарин;Для использования необходима;Сцепка;;;;
;Плуг П1-20/3 для мотоблока;Плуг П1-20/3 для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/plug_P1_20_3-mini.png;Плуг П1-20/3 для мотоблоков Агрос, МТЗ Беларус. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/plug_P1_20_3.png;99;1290;1290;0;0;0;7,9;;;;Габаритные размеры;535х310х410 мм;Ширина захвата лемеха;215 мм;Рабочая скорость вспашки;2-5 км/ч;Вид почвы;легкая, средняя;Производитель;Мобил К, г. Гагарин;Для использования необходима;Сцепка;;;;
;Плуг Крот для мотоблока;Плуг Крот  для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч, а также для мотокультиваторов;/UserFiles/Image/shop/plug_krot-mini.png;Плуг Крот для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч, а также для мотокультиваторов. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/plug_krot.png;99;990;990;0;0;0;4,6;;;;Габаритные размеры;440х250х430 мм;Ширина захвата лемеха;155 мм;Рабочая скорость вспашки;2-5 км/ч;Вид почвы;тяжелая;Производитель;Мобил К, г. Гагарин;Для использования необходима;Сцепка;;;;
;Плуг двухоборотный для мотоблока;Плуг двухоборотный для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч;/UserFiles/Image/shop/dvuxoborothii-mini.png;Плуг двухоборотный для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/dvuxoborothii.png;99;4050;4050;0;0;0;15;;;;В конструкции используются 2 плуга Крот;;Ширина захвата лемеха;155 мм;Рабочая скорость вспашки;2-5 км/ч;Вид почвы;легкая, средняя;Производитель;Мобил К, г. Гагарин;Для использования необходима;Сцепка;;;;
;Почвофреза для мотоблоков;Почвофреза для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/adapter-mini.png;Почвофреза для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/adapter.png;99;17400;17400;0;0;0;;;;;Глубина культивации;8 см;Ширина захвата;61 см;Масса;40 кг;Габаритные размеры;800 х 660 х 450 мм;Производитель;Уфимское Моторостроительное ПО, г. Уфа;;;;;;
;Комплект культиваторов для мотоблоков;Комплект культиваторов для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/freza_MB-mini.png;Комплект культиваторов для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/freza_MB.png;99;2700;2700;0;0;0;;;;;2 двойные фрезы по 8 ножей;;Производитель;Мобил К, г. Гагарин;;;Обычно поставляются в комплекте с мотоблоком;;;;;;;;;
;Дополнительный комплект культиваторов МБ;Дополнительный комплект культиваторов МБ для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад, Луч;/UserFiles/Image/shop/kultivator_MB-mini.png;Дополнительный комплект культиваторов МБ для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад, Луч;/UserFiles/Image/shop/kultivator_MB.png;99;2100;2100;0;0;0;;;;;2 доп. фрезы (по 4 ножа);;Добавляется к комплекту культиваторов по 1 фрезе слева и справа для увеличения ширины культивации;;Ширина культивации с доп. Фрезами;90 см;Производитель;Мобил К, г. Гагарин;;;;;;;;
;Дополнительный комплект культиваторов для мотоблоков;Дополнительный комплект культиваторов для мотоблоков Салют, МКМ-3 Lander, Фаворит;/UserFiles/Image/shop/kultivator_salut-mini.png;Дополнительный комплект культиваторов для мотоблоков Салют, МКМ-3 Lander, Фаворит;/UserFiles/Image/shop/kultivator_salut.png;99;1900;1900;0;0;0;;;;;2 доп. фрезы (по 4 ножа);;Добавляется к комплекту культиваторов по 1 фрезе слева и справа для увеличения ширины культивации;;Ширина культивации с доп. Фрезами;90 см;Производитель;Мобил К, г. Гагарин;;;;;;;;
;"Нож культиватора - 1 шт. (левый/правый) 
для мотоблоков";"Нож культиватора - 1 шт. (левый/правый) 
для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч, НМБ-1 Угра, Крот, Тарпан";/UserFiles/Image/shop/nogi-mini.png;"Нож культиватора - 1 шт. (левый/правый) 
для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч, НМБ-1 Угра, Крот, Тарпан";/UserFiles/Image/shop/nogi.png;99;90;90;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Стопор фрезы, колеса для мотоблоков;Стопор фрезы, колеса для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/stopor-mini.png;Стопор фрезы, колеса для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Фаворит, Каскад, Луч;/UserFiles/Image/shop/stopor.png;99;100;100;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Полольник для мотокультиватора;Полольник для мотокультиватора Тарпан, МК-100, МК-75, Крот;/UserFiles/Image/shop/pololniki_MKM-3-mini.png;Полольник для мотокультиватора Тарпан, МК-100, МК-75, Крот;/UserFiles/Image/shop/pololniki_MKM-3.png;99;1600;1600;0;0;0;;;;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;;;
;Сцепка СВ-1/1 для мотоблоков;Сцепка СВ-1/1 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/CB-1_1_MB-mini.png;Сцепка СВ-1/1 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/CB-1_1_MB.png;99;1100;1100;0;0;0;;;;;Отличительная черта, которой обладает сцепка мотоблока СВ-1/1, – это возможность регулирования положения дополнительного навесного оборудования в трех плоскостях.;;Производитель;Мобил К, г. Гагарин;;;;;;;;;;;;
