Название категории;Название группы;Название подгруппы;Название раздела;Название подраздела;ID товара;Название товара;Цена;Склад;
Прочее;;;;; 336;Шкворень для мотоблока;100;0;
Сцепки;Навесное оборудование;;;; 335;Рама с двумя замками СВ-2 для мотоблоков;1100;99;
Фрезы (культиваторы);Навесное оборудование;;;; 334;Шплинт (стопор) фрезы, колеса для мотоблоков SPLR 1042;100;99;
Фрезы (культиваторы);Навесное оборудование;;;; 333;Нож культиватора - 1 шт. (левый|правый) для мотоблоков типа МБ;90;99;
Грунтозацепы;Навесное оборудование;;;; 332;Удлинители грунтозацепов для мотокультиваторов Крот;700;99;
Грунтозацепы;Навесное оборудование;;;; 331;Удлинители грунтозацепов для мотокультиваторов МКМ-2;700;99;
Грунтозацепы;Навесное оборудование;;;; 330;Грунтозацепы Крот|МК-3;1500;99;
Грунтозацепы;Навесное оборудование;;;; 329;Грунтозацепы 500 мм для мотоблоков Д=30 мм;2100;99;
Грунтозацепы;Навесное оборудование;;;; 328;Грунтозацепы 425 мм для мотоблоков Д=30 мм;1850;99;
Грунтозацепы;Навесное оборудование;;;; 327;Грунтозацепы 460x160 мм для мотоблоков Д=30 мм;2500;99;
Грунтозацепы;Навесное оборудование;;;; 326;Грунтозацепы 425x200 мм для мотоблоков Д=30 мм;2400;99;
Грунтозацепы;Навесное оборудование;;;; 325;Грунтозацепы 500x200 мм для мотоблоков Д=30 мм;2700;99;
Грунтозацепы;Навесное оборудование;;;; 324;Грунтозацепы 600 мм для мотоблоков Д=30 мм;2700;99;
Щетки;Навесное оборудование;;;; 322;Щетка ЩМ-0,9 Торнадо для мотоблоков типа МБ;19990;99;
Фрезы (культиваторы);Навесное оборудование;;;; 321;Комплект культиваторов для мотоблоков МКМ-3 Lander, Салют;2700;99;
Косилки;Навесное оборудование;;;; 320;Косилка КМ-0,5 Терминатор для мотоблоков Фаворит;10700;99;
Косилки;Навесное оборудование;;;; 319;Косилка КМ-0,5 Терминатор для мотоблоков МКМ-3 Lander;10700;99;
Щетки;Навесное оборудование;;;; 316;Щетка ЩМ-0,9 Торнадо для мотоблоков Фаворит;19990;99;
Щетки;Навесное оборудование;;;; 315;Щетка ЩМ-0,9 Торнадо для мотоблоков НМБ-1 Угра;21400;99;
Щетки;Навесное оборудование;;;; 314;Щетка ЩМ-0,9 Торнадо для мотоблоков Салют;19990;99;
Лопаты (отвалы);Навесное оборудование;;;; 313;Лопата (отвал) для мотоблоков НМБ-1 Угра;4700;99;
Лопаты (отвалы);Навесное оборудование;;;; 312;Лопата (отвал) для мотоблоков Салют, Фаворит;4700;99;
Снегоуборщики;Навесное оборудование;;;; 311;Снегоуборщик СМ-0,6 Мегалодон для мотоблоков Фаворит;14900;99;
Полольники;Навесное оборудование;;;; 310;Полольники для мотокультиватора Тарпан;1600;99;
Полольники;Навесное оборудование;;;; 309;Полольники для мотокультиватора Нева МК-100;1600;99;
Грунтозацепы;Навесное оборудование;;;; 308;Удлинители грунтозацепов для мотоблоков МКМ-3 Lander, Салют;700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 307;Шкив Д=20 мм (МБ-2 Нева);700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 306;Шкив Д=19 мм (МБ-2 Нева);700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 305;Шкив Д=20 мм (МБ-1 Ока, Каскад, Луч);700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 304;Шкив Д=19 мм (МБ-1 Ока, Каскад, Луч);700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 303;Шкив Д=19 мм (Салют);700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 302;Шкив Д=20 мм (Салют);700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 301;Шкив Д=19 мм (МКМ-3 Lander, Крот);700;99;
Сцепки;Навесное оборудование;;;; 300;Сцепка СВ-2 для мотоблоков типа МБ и МКМ-3 Lander;1200;99;
Сцепки;Навесное оборудование;;;; 299;Сцепка СВ-1/1 для мотоблоков Салют, Фаворит;1100;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 298;Шкив Д=20 мм (МКМ-3 Lander, Крот);700;99;
