Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение
;Ремень привода мотоблоков Нева МБ-2;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода переднего хода мотоблоков Ока МБ-1, Каскад, Луч;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода заднего хода мотоблоков Ока МБ-1, Каскад, Луч;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода мотоблоков Салют;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода мотокультиваторов МКМ-2 Lander;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода косилки КМ-0,5 Терминатор для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода косилки КМ-0,5 Терминатор для мотоблоков Салют;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода косилки КМ-0,5 Терминатор для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода косилки Заря для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода косилки Заря для мотоблоков Салют;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода косилки Заря для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода насоса НМЦ для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода насоса НМЦ для мотоблоков Салют;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода насоса НМЦ для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков Нева МБ-2;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков Ока МБ-1, Каскад, Луч;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков Салют;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода снегоуборщика СМ-0,6 Мегалодон для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода щетки ЩМ-0,9 Торнадо для мотоблоков Нева МБ-2, Ока МБ-1, Каскад, Луч;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода щетки ЩМ-0,9 Торнадо для мотоблоков Салют;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ремень привода щетки ЩМ-0,9 Торнадо для мотоблоков МКМ-3 Lander (Пахарь), Hitachi S169;;;;;99;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
